iter	Passed	Remaining
0	150	150337
1	152	76326
2	155	51660
3	157	39270
4	160	31876
5	162	26914
6	165	23416
7	167	20773
8	169	18686
9	172	17035
10	174	15719
11	177	14595
12	179	13658
13	182	12832
14	184	12125
15	187	11515
16	189	10974
17	192	10494
18	194	10049
19	196	9645
20	199	9298
21	201	8976
22	204	8699
23	207	8426
24	209	8179
25	212	7952
26	214	7736
27	217	7557
28	220	7369
29	222	7197
30	225	7041
31	227	6877
32	229	6733
33	232	6602
34	234	6466
35	236	6344
36	239	6225
37	241	6108
38	243	5999
39	245	5893
40	248	5806
41	250	5712
42	252	5622
43	254	5539
44	257	5455
45	258	5371
46	261	5296
47	263	5227
48	265	5154
49	267	5088
50	269	5021
51	271	4955
52	273	4895
53	276	4838
54	278	4782
55	280	4725
56	282	4673
57	284	4619
58	286	4570
59	288	4523
60	290	4478
61	293	4434
62	295	4389
63	297	4345
64	299	4302
65	301	4262
66	303	4221
67	305	4186
68	307	4148
69	309	4112
70	311	4076
71	313	4040
72	315	4006
73	317	3973
74	319	3942
75	321	3910
76	323	3879
77	325	3848
78	327	3819
79	329	3789
80	331	3761
81	333	3734
82	335	3708
83	337	3681
84	339	3655
85	341	3629
86	343	3604
87	345	3580
88	347	3557
89	349	3535
90	351	3512
91	353	3489
92	355	3468
93	357	3446
94	359	3425
95	361	3403
96	363	3384
97	365	3364
98	367	3344
99	369	3324
100	371	3305
101	373	3287
102	375	3268
103	377	3250
104	379	3233
105	381	3215
106	383	3198
107	385	3182
108	387	3166
109	389	3150
110	391	3133
111	393	3119
112	395	3103
113	397	3088
114	399	3073
115	401	3058
116	403	3044
117	405	3030
118	407	3020
119	410	3006
120	412	2993
121	414	2979
122	416	2966
123	417	2952
124	419	2939
125	421	2926
126	424	2915
127	426	2902
128	428	2890
129	430	2878
130	432	2865
131	433	2853
132	436	2842
133	438	2831
134	440	2820
135	442	2809
136	444	2798
137	446	2787
138	448	2776
139	450	2766
140	452	2755
141	454	2745
142	456	2734
143	458	2724
144	460	2714
145	462	2703
146	464	2693
147	466	2683
148	468	2676
149	470	2666
150	472	2656
151	474	2647
152	476	2637
153	478	2627
154	480	2618
155	482	2610
156	484	2601
157	486	2592
158	488	2583
159	490	2574
160	492	2565
161	494	2557
162	496	2548
163	498	2541
164	500	2532
165	502	2524
166	504	2516
167	506	2508
168	508	2500
169	510	2492
170	512	2484
171	514	2477
172	516	2470
173	518	2461
174	520	2455
175	522	2447
176	524	2439
177	526	2432
178	529	2426
179	531	2419
180	533	2411
181	535	2404
182	537	2397
183	539	2390
184	541	2383
